1.1	ὄστρεά τʼ ἤνεικεν, Θέτιδος Νηρηίδος ὕδνα 
2.1	σόγκους δʼ οὐκ ἂν ἐγὼ μυθήσομαι οὐδʼ ὀνομήνω, 
2.2	μυελόεν βλάστημα, καρηκομόωντας ἀκάνθαις, 
2.3	βολβίνας θʼ, αἳ Ζηνὸς Ὀυλυμπίου εἰσὶν ἀοιδοί, 
2.4	ἃς ἐν χέρσῳ θρέψε Διὸς παῖς ἄσπετος ὄμβρος, 
2.5	λευκοτέρας χιόνος, ἔσθειν δʼ ἀμύλοισιν ὁμοίας· 
2.6	τάων θυομένων ἠράσσατο πότνια γαστήρ. 
3.1	καὶ σικυὸν εἶδον, γαίης ἐρικυδέος υἱόν,
3.2	κείμενον ἐν λαχάνοις· ὁ δʼ ἐπʼ ἐννέα κεῖτο τραπέζας. 
4.1	ὣς ἔφαθʼ, οἱ δʼ ἐγέλασσαν, ἐπήνεικάν τʼ ἐπὶ τούτῳ 
4.2	σιτευτὰς ὄρνιθας ἐπʼ ἀργυρέοισι πίναξιν, 
4.3	ἄτριχας, οἰέτεας, λαγάνοις κατὰ νῶτον ἐίσας. 
5.1	οὐδʼ ἀπὸ πασσαλόφιν κρέμασαν, ὅθι περ τετάνυστο 
5.2	σκινδαψὸς τετράχορδος ἀνηλακάτοιο γυναικός. 
6.1	οἱ μὲν γὰρ δὴ πάντες, ὅσοι πάρος ἦσαν ἄριστοι, 
6.2	Εὔβοιός τε καὶ Ἑρμογένης δῖοί τε Φίλιπποι, 
6.3	οἱ μὲν δὴ τεθνᾶσι καὶ εἰν Ἀίδαο δόμοισιν. 
6.4	ἔστι δέ τις Κλεόνικος, ὃν ἀθάνατος λάχε γῆρυς, 
6.5	οὔτε πονητάων ἀδαήμων οὔτε θεάτρων, 
6.6	ᾧ καὶ τεθνειῶτι λαλεῖν πόρε Φερσεφόνεια. 
